Week,Phase,Day,Exercise,Sets,Reps,Intensity Target,Actual Load,Actual Reps,Coaching Notes
3,Accumulation,Day 4 (Thu),Front Squat Clusters,3,3.2.2,RPE 8,,,Capped at 21 total reps (down from 36). Stay upright to protect knees.
3,Accumulation,Day 4 (Thu),Close-Grip Bench Press,3,8,RPE 7.5,,,
3,Accumulation,Day 4 (Thu),Spanish Squats,3,12,Moderate,,,
3,Accumulation,Day 5 (Fri),Deadlift,4,4,RPE 8,,,
3,Accumulation,Day 5 (Fri),Push Press,4,5,RPE 7.5,,,Keep every set snappy.
3,Accumulation,Day 5 (Fri),Symmetrical Ring Rows,3,8-10,2 RIR,,,
3,Accumulation,Day 7 (Sun),Long Easy Run,1,30-45 min,Zone 2,,,
4,Deload,Day 1 (Mon),Broad Jump,2,3,Easy and crisp,,,Just enough to stay sharp.
4,Deload,Day 1 (Mon),Back Squat,3,3,RPE 6,,,Deload week. Drop weights significantly. Prioritize speed.
4,Deload,Day 1 (Mon),Deficit Stiff-Leg Deadlift,2,5,RPE 6,,,
4,Deload,Day 1 (Mon),Symmetrical Ring Pull-ups,2,Max - 4,4 RIR,,,
4,Deload,Day 2 (Tue),Med-Ball Scoop Toss,2,3,Easy and crisp,,,
4,Deload,Day 2 (Tue),Power Clean,3,2,70%,,,Light and snappy.
4,Deload,Day 2 (Tue),Bench Press,3,3,RPE 6,,,
4,Deload,Day 2 (Tue),Chest-Supported Row,2,10,RPE 6,,,
4,Deload,Day 2 (Tue),Concept2 Row,1,20 min,Zone 2,,,
4,Deload,Day 3 (Wed),Run Conditioning,1,20 min,Zone 2,,,No intervals. Continuous easy run.
4,Deload,Day 3 (Wed),Weighted V-Ups,2,10,Moderate,,,
4,Deload,Day 3 (Wed),Pallof Press,2,10 / side,Moderate,,,
4,Deload,Day 3 (Wed),Hand-Supported SL RDL,2,8 / leg,Moderate,,,
4,Deload,Day 4 (Thu),Front Squat Clusters,2,2.2.2,RPE 6,,,
4,Deload,Day 4 (Thu),Close-Grip Bench Press,2,8,RPE 6,,,
4,Deload,Day 4 (Thu),Spanish Squats,2,12,Moderate,,,
4,Deload,Day 5 (Fri),Deadlift,3,3,RPE 6,,,
4,Deload,Day 5 (Fri),Push Press,2,5,RPE 6,,,
4,Deload,Day 5 (Fri),Symmetrical Ring Rows,2,8,3 RIR,,,
4,Deload,Day 7 (Sun),Long Easy Run,1,20-30 min,Zone 2,,,Shortened duration for recovery.
5,Intensification,Day 1 (Mon),Broad Jump,3,3,Crisp and submaximal,,,Keep contacts low and powerful.
5,Intensification,Day 1 (Mon),Back Squat,3,4,RPE 8,,,Start of intensity block. Heavier than Week 3.
5,Intensification,Day 1 (Mon),Deficit Stiff-Leg Deadlift,2,5,RPE 7.5,,,
5,Intensification,Day 1 (Mon),Symmetrical Ring Pull-ups,3,Max - 2,2 RIR,,,
5,Intensification,Day 2 (Tue),Med-Ball Scoop Toss,3,3,Crisp and fast,,,
5,Intensification,Day 2 (Tue),Power Clean,4,2,82.5%,,,
5,Intensification,Day 2 (Tue),Bench Press,3,4,RPE 8,,,
5,Intensification,Day 2 (Tue),Chest-Supported Row,4,8,RPE 8,,,
5,Intensification,Day 2 (Tue),Concept2 Row,1,20-30 min,Zone 2,,,
5,Intensification,Day 3 (Wed),Threshold Run Intervals,4,90s hard / 90s easy,Moderate-High,,,Strong but controlled. Do not let this steal from Thu and Fri lifts.
5,Intensification,Day 3 (Wed),Weighted V-Ups,3,10-15,Moderate,,,
5,Intensification,Day 3 (Wed),Pallof Press,3,12 / side,Moderate,,,
5,Intensification,Day 3 (Wed),Hand-Supported SL RDL,2,8 / leg,Moderate,,,
5,Intensification,Day 4 (Thu),Front Squat Clusters,3,2.2.2,RPE 8,,,
5,Intensification,Day 4 (Thu),Close-Grip Bench Press,3,8,RPE 7.5,,,
5,Intensification,Day 4 (Thu),Spanish Squats,3,12,Moderate,,,
5,Intensification,Day 5 (Fri),Deadlift,3,4,RPE 8,,,
5,Intensification,Day 5 (Fri),Push Press,5,3,RPE 8,,,Move to lower reps and higher intent.
5,Intensification,Day 5 (Fri),Symmetrical Ring Rows,3,8-10,2 RIR,,,
5,Intensification,Day 7 (Sun),Long Easy Run,1,30-45 min,Zone 2,,,
6,Intensification,Day 1 (Mon),Broad Jump,3,3,Crisp and submaximal,,,
6,Intensification,Day 1 (Mon),Back Squat,4,3,RPE 8.5,,,Squat emphasis week — only 1-2 reps left in the tank on these sets.
6,Intensification,Day 1 (Mon),Deficit Stiff-Leg Deadlift,2,5,RPE 7,,,Squat emphasis week — keep accessory hinge conservative.
6,Intensification,Day 1 (Mon),Symmetrical Ring Pull-ups,3,Max - 2,2 RIR,,,
6,Intensification,Day 2 (Tue),Med-Ball Scoop Toss,3,3,Crisp and fast,,,
6,Intensification,Day 2 (Tue),Power Clean,5,1,85%,,,Heavy singles. No misses.
6,Intensification,Day 2 (Tue),Bench Press,4,3,RPE 8.5,,,
6,Intensification,Day 2 (Tue),Chest-Supported Row,4,8,RPE 8.5,,,
6,Intensification,Day 2 (Tue),Concept2 Row,1,20-30 min,Zone 2,,,
6,Intensification,Day 3 (Wed),Threshold Run Intervals,4,90s hard / 90s easy,Moderate-High,,,Heavy Thu and Fri ahead — cap at 4 intervals. Stay just under redline.
6,Intensification,Day 3 (Wed),Weighted V-Ups,3,10-15,Moderate,,,
6,Intensification,Day 3 (Wed),Pallof Press,3,12 / side,Moderate,,,
6,Intensification,Day 3 (Wed),Hand-Supported SL RDL,2,8 / leg,Moderate,,,
6,Intensification,Day 4 (Thu),Front Squat Clusters,3,2.2.2,RPE 8.5,,,Reduce reps per cluster near peak — maintain intensity but limit total volume.
6,Intensification,Day 4 (Thu),Close-Grip Bench Press,2,8,RPE 7.5,,,Reduce pressing volume — bench and push press already heavy this week.
6,Intensification,Day 4 (Thu),Spanish Squats,3,12,Moderate,,,
6,Intensification,Day 5 (Fri),Deadlift,3,3,RPE 8,,,Squat emphasis week — deadlift backs off. Save RPE 8.5-9 for Week 7.
6,Intensification,Day 5 (Fri),Push Press,5,3,RPE 8.5,,,
6,Intensification,Day 5 (Fri),Symmetrical Ring Rows,3,8-10,2 RIR,,,
6,Intensification,Day 7 (Sun),Long Easy Run,1,30-45 min,Zone 2,,,
7,Intensification,Day 1 (Mon),Broad Jump,3,3,Crisp and submaximal,,,Deadlift emphasis week. Keep jumps sharp and low fatigue.
7,Intensification,Day 1 (Mon),Back Squat,3,3,RPE 8,,,Deadlift emphasis week — squat backs off to RPE 8. Heavy but not maximal.
7,Intensification,Day 1 (Mon),Deficit Stiff-Leg Deadlift,1,5,RPE 6-7,,,Deadlift peaks this week — one quality accessory set only. Drop weight significantly.
7,Intensification,Day 1 (Mon),Symmetrical Ring Pull-ups,3,Max - 2,2 RIR,,,
7,Intensification,Day 2 (Tue),Med-Ball Scoop Toss,3,3,Crisp and fast,,,
7,Intensification,Day 2 (Tue),Power Clean,5,1,87.5%,,,No misses. Shut it down if speed drops.
7,Intensification,Day 2 (Tue),Bench Press,3,3,RPE 9,,,
7,Intensification,Day 2 (Tue),Chest-Supported Row,4,6-8,RPE 8.5,,,
7,Intensification,Day 2 (Tue),Concept2 Row,1,20-30 min,Zone 2,,,
7,Intensification,Day 3 (Wed),Run Conditioning,1,25-30 min,Zone 2,,,Deadlift and front squat peak Thu/Fri — no intervals this week. Easy aerobic work only. Stay fresh.
7,Intensification,Day 3 (Wed),Weighted V-Ups,3,10-12,Moderate,,,
7,Intensification,Day 3 (Wed),Pallof Press,3,12 / side,Moderate,,,
7,Intensification,Day 3 (Wed),Hand-Supported SL RDL,2,8 / leg,Moderate,,,
7,Intensification,Day 4 (Thu),Front Squat Clusters,3,2.2.2,RPE 8,,,Deadlift emphasis week — front squat stays at RPE 8. Quality over load.
7,Intensification,Day 4 (Thu),Close-Grip Bench Press,2,8,RPE 7,,,Reduce pressing volume near deadlift peak.
7,Intensification,Day 4 (Thu),Spanish Squats,3,12,Moderate,,,
7,Intensification,Day 5 (Fri),Deadlift,3,3,RPE 9,,,
7,Intensification,Day 5 (Fri),Push Press,5,3,RPE 8,,,Bar speed is the marker. No grind reps.
7,Intensification,Day 5 (Fri),Symmetrical Ring Rows,3,8-10,2 RIR,,,
7,Intensification,Day 7 (Sun),Long Easy Run,1,30-45 min,Zone 2,,,
8,Deload,Day 1 (Mon),Broad Jump,2,3,Easy and crisp,,,Keep neural sharpness without fatigue.
8,Deload,Day 1 (Mon),Back Squat,2,3,RPE 6,,,Pre-realization deload. Cut volume and intensity.
8,Deload,Day 1 (Mon),Deficit Stiff-Leg Deadlift,1,5,RPE 6,,,
8,Deload,Day 1 (Mon),Symmetrical Ring Pull-ups,2,Max - 4,4 RIR,,,
8,Deload,Day 2 (Tue),Med-Ball Scoop Toss,2,3,Easy and crisp,,,
8,Deload,Day 2 (Tue),Power Clean,3,1,75%,,,Light and sharp.
8,Deload,Day 2 (Tue),Bench Press,2,3,RPE 6,,,
8,Deload,Day 2 (Tue),Chest-Supported Row,2,8,RPE 6,,,
8,Deload,Day 2 (Tue),Concept2 Row,1,20 min,Zone 2,,,
8,Deload,Day 3 (Wed),Run Conditioning,1,20 min,Zone 2,,,Continuous easy run.
8,Deload,Day 3 (Wed),Weighted V-Ups,2,10,Moderate,,,
8,Deload,Day 3 (Wed),Pallof Press,2,10 / side,Moderate,,,
8,Deload,Day 3 (Wed),Hand-Supported SL RDL,1,8 / leg,Moderate,,,
8,Deload,Day 4 (Thu),Front Squat Clusters,2,2.2.2,RPE 6,,,
8,Deload,Day 4 (Thu),Close-Grip Bench Press,2,8,RPE 6,,,
8,Deload,Day 4 (Thu),Spanish Squats,2,12,Moderate,,,
8,Deload,Day 5 (Fri),Deadlift,2,3,RPE 6,,,
8,Deload,Day 5 (Fri),Push Press,2,3,RPE 6,,,Week 9 = realization: attempt a heavy single or 3RM on squat / bench / deadlift at 90-95% effort.
8,Deload,Day 5 (Fri),Symmetrical Ring Rows,2,8,3 RIR,,,
8,Deload,Day 7 (Sun),Long Easy Run,1,20-30 min,Zone 2,,,
